poem_idx,analysis,concise_analysis,generated_prompt,reference_prompt,bleu,rouge1,rouge2,rougeL
10,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        bật cây nêu đem mới lại cho mau, già, trẻ, gái, giai đều sướng kiếp ; <
> đùng tiếng trúc đuổi cũ đi đã đáng, cỏ, hoa, non, nước cũng mừng xuân.

        ### Poem Analysis:
         - Emotional Tone: The overall emotion of this poem is joyful and celebratory.
         - Metaphor: There are several metaphors in this poem. For example, ""bật cây nêu đem mới lại cho mau"", which means bringing new life to old things through light (fire).
         - Setting: The setting of this poem appears to be springtime or early summer when flowers bloom and trees start growing again after winter.
         - Motion: The motion described in this poem seems to be dynamic","
        Cảm xúc: The overall emotion of this poem is joyful and celebratory.
        Ẩn dụ: There are several metaphors in this poem. For example, ""bật cây nêu đem mới lại cho mau"", which means bringing new life to old things through light (fire).
        Bối cảnh: The setting of this poem appears to be springtime or early summer when flowers bloom and trees start growing again after winter.
        Chuyển động: The motion described in this poem seems to be dynamic
        ","Bức tranh thể hiện một khu vườn trong mùa xuân với cây cối xanh tươi và hoa nở rộ, mang đến không khí vui tươi và năng động. Màu sắc chủ đạo là màu vàng, hồng và xanh lá cây. Phong cách nghệ thuật là hiện đại, mạnh mẽ.","Cây nêu trong mùa xuân với mọi người vui vẻ, cỏ hoa nở rộ.",0.05956233868133503,0.45161290322580644,0.21978021978021978,0.3225806451612903
11,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        gió thu hiu hắt khóm phương tùng, <
> thổi rụng hàng châu ngoẹn má hồng. <
> cỏ biếc chẳng treo hồn sở trướng, <
> trúc vàng thà điểm giọt ngu cung. <
> hoa kề cổ trủng đeo tình nặng, <
> trăng rọi cô lư sáng tiếng trong. <
> dệt gấm thanh nê câu nhất tiếu, <
> thêu nền thúy ái chữ tam tùng.

        ### Poem Analysis:
         - Emotional Tone: The overall emotion of this poem is melancholic with hints of longing.
         - Metaphor: There are several metaphors in this poem. For example, ""hoa kề cổ trủng đeo tình nặng"" can be interpreted as comparing love to an anchor that holds one's heart together despite life's turmoil.
         - Setting: Although not explicitly stated, it appears to take place during autumn or early winter due to references like ""thổi rụng hàng châu n","
        Cảm xúc: The overall emotion of this poem is melancholic with hints of longing.
        Ẩn dụ: There are several metaphors in this poem. For example, ""hoa kề cổ trủng đeo tình nặng"" can be interpreted as comparing love to an anchor that holds one's heart together despite life's turmoil.
        Bối cảnh: Although not explicitly stated, it appears to take place during autumn or early winter due to references like ""thổi rụng hàng châu n
        Chuyển động: 
        ","Hoa kề cổ trủng đeo tình nặng, mùa thu vàng rực. Không khí huyền bí, buồn bã. Màu sắc: Vàng, cam, nâu. Phong cách: Biểu hiện tâm hồn.","Khung cảnh mùa thu với gió hiu hắt, hoa lá rụng, thể hiện nỗi buồn.",0.016891032976324306,0.46376811594202894,0.14925373134328357,0.3188405797101449
12,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        ai lên tử các thanh vân <
> hỏi thăm ả tố chiều xuân thế nào <
> cầm âm một khúc gởi trao <
> cậy lòng dì gió đưa vào hương cung. <
> oanh én véo von gọi khách <
> cỏ hoa hớn hở mừng ai <
> gió xuân hây hẩy giục đưa người <
> dễ khiến lòng tơ bối rối! <
> thấp thoáng thoi oanh dệt liễu <
> thung thăng phấn bướm dồi mai <
> vũ lăng xa diễn biết bao vời <
> khôn hỏi đào nguyên đâu tá. <
> khôn hỏi đào nguyên đâu tá <
> dòng ngự câu gieo lá tình thi <
> may thay một hội tương kỳ <
> đã bên tình phận lại bề phong lưu <
> câu hảo cừu đợi người thục nữ <
> năm mây phong hai chữ đồng tâm <
> đón xuân nhắn với tri âm <
> tính tình xin tỏ tiếng lòng nầy cho. <
> rắp hẹn hò ngồi hoa đứng tuyết <
> lòng còn e khôn biết nói năng... <
> bây giờ mượn gió cung đằng <
> vì duyên xưa mối xích thằng lại đây. <
> <
> thơ rằng : <
> từ chốn thềm cung trộm dấu hương <
> dễ xui tao khách mối sầu vương <
> gió thông gieo rắc chong đèn oán <
> trăng hạnh chênh vênh rạng bóng dương <
> nếu đã tình duyên run rủi phận <
> thì xin ân ái vẹn vuông đường <
> phong lưu đôi lứa đà ai dễ <
> bụi tục chi cho bợn lóa gương. <
> <
> bợn trần chi để lóa gương <
> tuyết mai là tiết liễu dương ấy tình <
> khổn hoa vừa mãn phong thanh <
> nức gương kinh các nổi danh tao đàn <
> trong tình thú hồng nhan dễ mấy <
> chốn phòng trung trộm thấy phong quang <
> xui lòng du tử thêm càng... <
> biết bao giờ vẹn lửa hương ước nguyền?! <
> tâm sự gởi hoa tiên một bức <
> từ chương không sánh bậc hào hoa <
> những thì ân ái thế mà... <
> tài nương xin hãy xét ta chữ tình. <
> bóng quế mờ mờ trước nóc <
> hơi hương hây hẩy bên thềm <
> ngón cầm dìu dặt nhẫn thâu đêm <
> văng vẳng khêu sầu dường điểm <
> cành tuyết ngoài thềm mới chớm <
> chồi hương bên cửa vừa cầm <
> vườn đào quạnh quẽ mượn ai tầm? <
> mấy bức gấm phong im ỉm. <
> im ỉm gấm phong mấy bức <
> điểm một ngày dằng dặc dường niên <
> để ai đưa đón cung tiên <
> xếp nghề vũ lại gác bên trướng tình <
> mây phủ vóc hình thương cẩu <
> nguyệt mờ ám ngọc vẻ ngọc thiềm <
> bóng đèn xanh thắm lọt năm đêm <
> dò dõi khắc sầu khôn điểm <
> mấy tiếng lầu hoa chợt lắng <
> vài phen ngấn mực còn cầm <
> tuyết lồng thôn lạnh biết đâu tầm? <
> chín khúc sầu trường im ỉm. <
> im ỉm sầu trường chín khúc <
> mượn tiêu cầm đỡ lúc tương tư <
> cầm sao thấy điệu ngẩn ngơ <
> tình ai luống để khách thơ thêm càng...!

        ### Poem Analysis:
         Emotional Tone: Melancholic

Metaphor:

*   Metaphor of wind as an instrument playing music (lines 5-6)
*   Metaphor of wind as a messenger bringing news from afar (line 7)

Setting:

*   Setting in spring season with flowers blooming (lines 1-2)
*   Setting in imperial palace with imperial throne (lines 3-4)
*   Setting in imperial palace with imperial throne (lines 9-10)
","
        Cảm xúc: Melancholic
        Ẩn dụ: 
        Bối cảnh: 
        Chuyển động: 
        ","Đêm mưa trên đồi xanh, bóng râm, ánh đèn soi sáng. Không khí buồn rầu, màu tối, phong cách hiện đại.","Một khung cảnh mùa xuân với gió nhẹ, hoa nở, và âm thanh nhạc cầm, phản ánh tâm trạng buồn bã và nỗi nhớ",0.009416653299812942,0.5217391304347826,0.08955223880597014,0.37681159420289856
13,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        cuồn cuộn xe mây kíp ruổi giong, <
> dễ mà theo hỏi chốn hành tung. <
> khêu sầu chín khúc chùng dây sắt, <
> diễn thảm năm canh quạnh giọt đồng. <
> niêm đảo mơ màng hồi thú cổ, <
> sinh tiêu văng vẳng tiếng thiền chung. <
> huyền thương ví chẳng thù hồng phấn, <
> chi kiếp trần hoàn trả chửa xong!

        ### Poem Analysis:
         - Emotional Tone: Melancholic melancholy with hints of nostalgia.
         - Metaphor: The speaker compares their life to a winding road (cuồn cuộn xe mây kíp ruổi) that leads them through various emotions and experiences.
         - Setting: A somber atmosphere set in a rural or natural environment, possibly during autumn or winter due to the mention of ""thảm năm canh quạnh"" (a year of hardship).
         - Motion: The speaker is moving","
        Cảm xúc: Melancholic melancholy with hints of nostalgia.
        Ẩn dụ: The speaker compares their life to a winding road (cuồn cuộn xe mây kíp ruổi) that leads them through various emotions and experiences.
        Bối cảnh: A somber atmosphere set in a rural or natural environment, possibly during autumn or winter due to the mention of ""thảm năm canh quạnh"" (a year of hardship).
        Chuyển động: The speaker is moving
        ","Cuồn cuộn xe mây kíp ruổi qua một năm canh quạnh, dưới ánh đèn lồng vàng. 
Thảm buồn rơi xuống, lòng ta trầm trồ. Màu đỏ cam và vàng ngát trong đêm thu. Phong cách nước màu","Một hành trình tĩnh lặng qua không gian mờ ảo, với âm thanh chuông thiền vang vọng.",0.005959978627465526,0.4186046511627908,0.07142857142857144,0.27906976744186046
14,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        từ chốn thiềm cung trộm dấu hương <
> dễ xui tao khách mối sầu vương <
> gió thông réo rắt rong đàn oán <
> trăng hạnh chênh vênh rạng bóng dương <
> nếu phải tình duyên may chút phận <
> thì xin ân ái vẹn hai đường <
> phong lưu đôi lứa ai đà dễ <
> bụi tục chi cho bợn lóa gương

        ### Poem Analysis:
         - Emotional Tone: Melancholic (melancholy) with hints of longing.
         - Metaphor: None explicitly stated but implied through imagery and symbolism.
         - Setting: Ancient China during imperial times or feudal era. The mention of ""thiên đình"" suggests an aristocratic atmosphere.
         - Motion: Static; however, there's a sense of yearning for something beyond one's current circumstances.
         - Symbolism: Symbols like ""sầu vương,"" ""trăng h","
        Cảm xúc: Melancholic (melancholy) with hints of longing.
        Ẩn dụ: None explicitly stated but implied through imagery and symbolism.
        Bối cảnh: Ancient China during imperial times or feudal era. The mention of ""thiên đình"" suggests an aristocratic atmosphere.
        Chuyển động: Static; however, there's a sense of yearning for something beyond one's current circumstances.
        ","Trái tim Hoàng đế trong bóng đêm lạnh lẽo, cảnh quan hoàng cung tuyệt đẹp với hoa cỏ hoang dã, không khí trầm ngâm lãng mạn, màu sắc chủ đạo là nâu và đỏ, phong cách nghệ thuật là tranh nướccolor.","Một khung cảnh thần tiên với trăng sáng, gió nhẹ và những tâm tư buồn bã.",0.005927305348705561,0.44705882352941173,0.04819277108433735,0.25882352941176473
15,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        sinh có nhân thân, <
> ấy là họa cả ; <
> ai hay cốc được, <
> mới ốc là đã. <
> tuần này mà ngẫm, <
> ta lại xá ta ; <
> đắc ý cong lòng, <
> cười riêng ha hả. <
> công danh chẳng trọng, <
> phú quý chẳng màng ; <
> tần hán xưa kia, <
> xem đà nhèn hạ. <
> yên bề phận khó, <
> kiếm chốn dưỡng thân ; <
> khuất tịch non cao, <
> náu mình sơn dã. <
> vượn mừng hủ hỷ, <
> làm bạn cùng ta ; <
> vắng vẻ ngàn kia, <
> thân lòng hỷ xả. <
> thanh nhàn vô sự, <
> quét tước đài hoa ; <
> thờ phụng bụt trời, <
> đêm ngày hương hỏa. <
> tụng kinh niệm bụt, <
> chúc thánh khẩn cầu ; <
> tam hữu tứ ân, <
> ta nguyền được bả. <
> niệm lòng vặc vặc, <
> giác tính quang quang ; <
> chẳng còn bỉ thử. <
> tranh nhân chấp ngã. <
> trần duyên rũ hết, <
> thị phi chẳng hề. <
> rèn một tấm lòng, <
> đêm ngày đon đả. <
> ngồi cong trần thế, <
> chẳng quản sự thay. <
> văng vẳng ngàn kia, <
> dầu lòng dong thả. <
> học đòi chư phật, <
> cho được viên thành ; <
> xướng khúc vô sinh. <
> an thiền tiêu sá. <
> ai ai xá cốc, <
> bằng huyễn chiêm bao ; <
> xẩy tỉnh giấc hòe, <
> châu rơi lã chã. <
> cốc hay thân huyễn, <
> chẳng khác phù vân ; <
> vạn sự giai không, <
> tựa dường bọt bể. <
> đem mình náu tới, <
> cảnh vắng ngàn kia ; <
> dốc chí tu hành, <
> giấy sồi bô bả. <
> lành người chẳng chớ. <
> dữ người chẳng hay ; <
> ngậm miệng đắp tai, <
> hề chi họa cả. <
> an thân lập mệnh. <
> thời tiết nhân duyên ; <
> cắt thịt phân cho, <
> dầu là chim cá. <
> thân này chẳng quản. <
> bữa đói bữa no ; <
> địa thủy hỏa phong, <
> dầu là biến hóa. <
> pháp thân thường trụ, <
> phổ mãn thái hư, <
> hiển hách mục tiền, <
> viên dung lõa lõa. <
> thiền tông chỉ thị, <
> mục kích đạo tồn ; <
> không cốc truyền thanh, <
> âm hưởng ứng dã. <
> phô người học đạo, <
> vô số nhiều thay ; <
> trúc hóa nên rồng, <
> một hai là họa. <
> bởi lòng vờ vịt, <
> trỏ bắc làm nam ; <
> nhất chỉ đầu thiền, <
> sát na hết cả. <
> <
> kệ rằng : <
> cảnh tịch an cư tự tại tâm, <
> lương phong xuy đệ nhập tùng âm. <
> thiền sàng thọ hạ nhất kinh quyển, <
> lưỡng tự thanh nhàn thắng vạn câm.

        ### Poem Analysis:
         Emotional Tone: The overall emotional tone of this poem is serene, calm, and peaceful. It conveys a sense of detachment from worldly concerns and desires.
          Metaphor: One notable metaphor in the poem is ""cốc"" (cup) which represents spiritual enlightenment or awakening. Other metaphors include ""non cao"" (mountain high), ""náu mình sơn dã"" (washing oneself with mountain streams), and ""vượn mừng hủ hỷ"" (making friends","
        Cảm xúc: The overall emotional tone of this poem is serene, calm, and peaceful. It conveys a sense of detachment from worldly concerns and desires.
        Ẩn dụ: One notable metaphor in the poem is ""cốc"" (cup) which represents spiritual enlightenment or awakening. Other metaphors include ""non cao"" (mountain high), ""náu mình sơn dã"" (washing oneself with mountain streams), and ""vượn mừng hủ hỷ"" (making friends
        Bối cảnh: 
        Chuyển động: 
        ","Cốc non cao bên sông yên tĩnh,
Nước chảy suối núi, tâm hồn bình yên.
Màu xanh lá cây và đỏ đất mộc mạc.
Phong cách hiện thực.","Hình ảnh một người thiền định giữa thiên nhiên tĩnh lặng, ánh sáng dịu dàng chiếu xuống.",0.0,0.3589743589743589,0.07894736842105264,0.20512820512820512
16,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        năm ba thằng ngọng đứng xem chuông, <
> nó bảo nhau rằng ấy ái uông.

        ### Poem Analysis:
         - Emotional Tone: The emotional tone of this poem is melancholic and nostalgic.
         - Metaphor: There isn't any explicit metaphors in this poem. However, there are implicit metaphors such as comparing love to an anchor that holds people together (""ánh ái uông"").
         - Setting: The setting appears to be at night or during nighttime hours when it's dark outside (the use of ""<"" symbol indicates darkness).
         - Motion: There seems no clear indication of motion in","
        Cảm xúc: The emotional tone of this poem is melancholic and nostalgic.
        Ẩn dụ: There isn't any explicit metaphors in this poem. However, there are implicit metaphors such as comparing love to an anchor that holds people together (""ánh ái uông"").
        Bối cảnh: The setting appears to be at night or during nighttime hours when it's dark outside (the use of ""<"" symbol indicates darkness).
        Chuyển động: There seems no clear indication of motion in
        ","Anh ái uông dưới bóng tối đêm, ánh trăng gỉa vào mặt nước. Cảm xúc nặng nề, không khí ồn ào. Màu sắc chủ đạo: xám tối, màu xanh đục. Phong cách nghệ thuật: Biến động.","Một nhóm bạn trẻ đứng xem chuông, trò chuyện vui vẻ.",0.0,0.30136986301369867,0.05633802816901408,0.19178082191780824
17,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        mười bảy hay là mười tám đây, <
> cho ta yêu dấu chẳng dời tay. <
> mỏng dày chừng ấy chành ba góc, <
> rộng hẹp ngần nao cắm một cay. <
> càng nực bao nhiêu thời càng mát, <
> yêu đêm chẳng chán lại yêu ngày. <
> hồng hồng má phấn duyên vì cậy, <
> chúa dấu vua yêu một cái này.

        ### Poem Analysis:
         - Emotional Tone: The overall emotion of this poem is one of joyfulness and happiness. It expresses feelings of love and affection towards someone.
         - Metaphor: There are several metaphors in this poem such as ""một trăm chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín","
        Cảm xúc: The overall emotion of this poem is one of joyfulness and happiness. It expresses feelings of love and affection towards someone.
        Ẩn dụ: There are several metaphors in this poem such as ""một trăm chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín chín
        Bối cảnh: 
        Chuyển động: 
        ","Một người đàn ông đang bước vào một bữa tiệc sôi động với ánh đèn nến và bàn ăn đầy màu sắc, không khí vui tươi và hạnh phúc, màu sắc chủ đạo là đỏ và vàng, phong cách nghệ thuật là lãng mạn.","Một cảnh tượng lãng mạn giữa hai người yêu nhau, tay nắm chặt.",0.005508606419495829,0.4222222222222222,0.13636363636363635,0.28888888888888886
18,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        chiếc bách buồn về phận nổi nênh, <
> giữa dòng ngao ngán nỗi lênh đênh. <
> lưng khoang tình nghĩa mong đầy đặn, <
> nửa mạn phong ba luống bập bềnh. <
> chèo lái mặc ai lăm đỗ bến, <
> buồm lèo thây kẻ rắp xuôi ghềnh. <
> ấy ai thăm ván cam lòng vậy, <
> ngán nỗi ôm đàn những tấp tênh.

        ### Poem Analysis:
         - Emotional Tone: Melancholic/Mournful

         - Metaphor:

             *   chiếc bách buồn về phận nổi nênh : This line uses metaphors to describe someone's sorrow about their fate. The ""chip chip"" sound is used to convey sadness.
             *   giữa dòng ngao ngán nỗi lênh đênh : This line compares life to being lost at sea with no direction or purpose.
             *   lưng khoang tình nghĩa mong đầy đ","
        Cảm xúc: Melancholic/Mournful
        Ẩn dụ: 
        Bối cảnh: 
        Chuyển động: 
        ","Khung cảnh: Một đêm im ắng trên đồi núi cao, lũy mỏng manh
Cảm xúc và không khí: Hạt buồn, cô đơn
Màu sắc chủ đạo: Xám, đen, trắng
Phong cách nghệ thuật: Tĩnh lặng","Một chiếc bách trôi nổi giữa dòng nước đầy sóng gió, biểu hiện nỗi buồn và sự lạc lõng.",0.0063161840849674045,0.5227272727272728,0.1627906976744186,0.34090909090909094
19,"
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        trải mấy thu nay vẫn hãy còn, <
> cớ sao khi khuyết lại khi tròn? <
> hỏi con bạch thố đà bao tuổi? <
> hỏi chị hằng nga đã mấy con? <
> đêm tối cớ sao soi gác tía? <
> ngày xanh còn thẹn mấy vầng tròn. <
> năm canh lơ lửng chờ ai đó? <
> hay có tình riêng mấy nước non?

        ### Poem Analysis:
         - Emotional Tone: Melancholic (melancholy) with hints of nostalgia.
         - Metaphor: None explicitly stated but can be inferred through imagery and symbolism. For example, ""trải mấy thu nay vẫn hãy còn"" suggests that time is passing quickly like autumn leaves falling from trees.
         - Setting: Autumn season in Vietnam during childhood or adolescence.
         - Motion: The speaker seems to be looking back at their past experiences and memories, possibly reminiscing about lost youth and innocence","
        Cảm xúc: Melancholic (melancholy) with hints of nostalgia.
        Ẩn dụ: None explicitly stated but can be inferred through imagery and symbolism. For example, ""trải mấy thu nay vẫn hãy còn"" suggests that time is passing quickly like autumn leaves falling from trees.
        Bối cảnh: Autumn season in Vietnam during childhood or adolescence.
        Chuyển động: The speaker seems to be looking back at their past experiences and memories, possibly reminiscing about lost youth and innocence
        ","Một mùa thu tàn ở Việt Nam trong tuổi thanh niên. 
Melancholic và hơi nhớ nhung. 
Màu sắc chủ đạo: Xám, nâu, cam. 
Phong cách nghệ thuật: Tĩnh lặng.","Hình ảnh bạch thố và ánh trăng trong đêm tối, thể hiện sự buồn bã và chờ đợi.",0.007696339439306161,0.44776119402985076,0.030769230769230767,0.20895522388059704
