poem_idx,poem,analysis,concise_analysis,generated_prompt,reference_prompt,bleu,rouge1,rouge2,rougeL
10,"bật cây nêu đem mới lại cho mau , già , trẻ , gái , giai đều sướng kiếp ; <
> đùng tiếng trúc đuổi cũ đi đã đáng , cỏ , hoa , non , nước cũng mừng xuân .","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        bật cây nêu đem mới lại cho mau, già, trẻ, gái, giai đều sướng kiếp ; <
> đùng tiếng trúc đuổi cũ đi đã đáng, cỏ, hoa, non, nước cũng mừng xuân.

        ### Poem Analysis:
         - Emotional Tone: The overall emotion of this poem is joyful and celebratory. It expresses happiness for new beginnings.
         - Metaphor: There isn't any explicit metaphors in the poem but there are some implicit ones such as comparing trees to bring joy back to people's lives.
         - Setting: The setting appears to be springtime with flowers blooming and birds singing (implied by ""đừng tiếng trúc đuổi cũ đi đã đáng"").
         - Motion: The motion implied here","
        Cảm xúc: The overall emotion of this poem is joyful and celebratory. It expresses happiness for new beginnings.
        Ẩn dụ: There isn't any explicit metaphors in the poem but there are some implicit ones such as comparing trees to bring joy back to people's lives.
        Bối cảnh: The setting appears to be springtime with flowers blooming and birds singing (implied by ""đừng tiếng trúc đuổi cũ đi đã đáng"").
        Chuyển động: The motion implied here
        ","Cảnh: Bông hoa màu vàng rực rỡ trong vườn mùa xuân.
Cảm xúc và không khí: Hạnh phúc, tươi vui
Màu sắc chủ đạo: Vàng, xanh lá cây
Phong cách nghệ thuật: Tự nhiên","Cây nêu trong mùa xuân với mọi người vui vẻ, cỏ hoa nở rộ.",0.008186841244220632,0.5,0.13513513513513514,0.3684210526315789
11,"gió thu hiu hắt khóm phương tùng , <
> thổi rụng hàng châu ngoẹn má hồng . <
> cỏ biếc chẳng treo hồn sở trướng , <
> trúc vàng thà điểm giọt ngu cung . <
> hoa kề cổ trủng đeo tình nặng , <
> trăng rọi cô lư sáng tiếng trong . <
> dệt gấm thanh nê câu nhất tiếu , <
> thêu nền thúy ái chữ tam tùng .","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        gió thu hiu hắt khóm phương tùng, <
> thổi rụng hàng châu ngoẹn má hồng. <
> cỏ biếc chẳng treo hồn sở trướng, <
> trúc vàng thà điểm giọt ngu cung. <
> hoa kề cổ trủng đeo tình nặng, <
> trăng rọi cô lư sáng tiếng trong. <
> dệt gấm thanh nê câu nhất tiếu, <
> thêu nền thúy ái chữ tam tùng.

        ### Poem Analysis:
         - Emotional Tone: The overall emotion of this poem is melancholic with hints of longing.
         - Metaphor: There are several metaphors in this poem. For example, ""hoa kề cổ trủng đeo tình nặng"" can be interpreted as comparing love to an anchor that holds one's heart together despite turbulent times.
         - Setting: Although not explicitly stated, it appears to take place during autumn or winter due to references like ""thổi rụng hàng châu ngoẹn","
        Cảm xúc: The overall emotion of this poem is melancholic with hints of longing.
        Ẩn dụ: There are several metaphors in this poem. For example, ""hoa kề cổ trủng đeo tình nặng"" can be interpreted as comparing love to an anchor that holds one's heart together despite turbulent times.
        Bối cảnh: Although not explicitly stated, it appears to take place during autumn or winter due to references like ""thổi rụng hàng châu ngoẹn
        Chuyển động: 
        ","Hoa kề cổ trủng đeo tình nặng dưới ánh vàng rụng. Nắng rơi nhẹ, mưa lướt qua. Sắc màu nâu xám, tím phai. Phong cách nghệ thuật: Lyrical","Khung cảnh mùa thu với gió hiu hắt, hoa lá rụng, thể hiện nỗi buồn.",0.006716472052354862,0.47058823529411764,0.0909090909090909,0.23529411764705882
12,"ai lên tử các thanh vân <
> hỏi thăm ả tố chiều xuân thế nào <
> cầm âm một khúc gởi trao <
> cậy lòng dì gió đưa vào hương cung . <
> oanh én véo von gọi khách <
> cỏ hoa hớn hở mừng ai <
> gió xuân hây hẩy giục đưa người <
> dễ khiến lòng tơ bối rối ! <
> thấp thoáng thoi oanh dệt liễu <
> thung thăng phấn bướm dồi mai <
> vũ lăng xa diễn biết bao vời <
> khôn hỏi đào nguyên đâu tá . <
> khôn hỏi đào nguyên đâu tá <
> dòng ngự câu gieo lá tình thi <
> may thay một hội tương kỳ <
> đã bên tình phận lại bề phong lưu <
> câu hảo cừu đợi người thục nữ <
> năm mây phong hai chữ đồng tâm <
> đón xuân nhắn với tri âm <
> tính tình xin tỏ tiếng lòng nầy cho . <
> rắp hẹn hò ngồi hoa đứng tuyết <
> lòng còn e khôn biết nói năng ... <
> bây giờ mượn gió cung đằng <
> vì duyên xưa mối xích thằng lại đây . <
> <
> thơ rằng : <
> từ chốn thềm cung trộm dấu hương <
> dễ xui tao khách mối sầu vương <
> gió thông gieo rắc chong đèn oán <
> trăng hạnh chênh vênh rạng bóng dương <
> nếu đã tình duyên run rủi phận <
> thì xin ân ái vẹn vuông đường <
> phong lưu đôi lứa đà ai dễ <
> bụi tục chi cho bợn lóa gương . <
> <
> bợn trần chi để lóa gương <
> tuyết mai là tiết liễu dương ấy tình <
> khổn hoa vừa mãn phong thanh <
> nức gương kinh các nổi danh tao đàn <
> trong tình thú hồng nhan dễ mấy <
> chốn phòng trung trộm thấy phong quang <
> xui lòng du tử thêm càng ... <
> biết bao giờ vẹn lửa hương ước nguyền ? ! <
> tâm sự gởi hoa tiên một bức <
> từ chương không sánh bậc hào hoa <
> những thì ân ái thế mà ... <
> tài nương xin hãy xét ta chữ tình . <
> bóng quế mờ mờ trước nóc <
> hơi hương hây hẩy bên thềm <
> ngón cầm dìu dặt nhẫn thâu đêm <
> văng vẳng khêu sầu dường điểm <
> cành tuyết ngoài thềm mới chớm <
> chồi hương bên cửa vừa cầm <
> vườn đào quạnh quẽ mượn ai tầm ? <
> mấy bức gấm phong im ỉm . <
> im ỉm gấm phong mấy bức <
> điểm một ngày dằng dặc dường niên <
> để ai đưa đón cung tiên <
> xếp nghề vũ lại gác bên trướng tình <
> mây phủ vóc hình thương cẩu <
> nguyệt mờ ám ngọc vẻ ngọc thiềm <
> bóng đèn xanh thắm lọt năm đêm <
> dò dõi khắc sầu khôn điểm <
> mấy tiếng lầu hoa chợt lắng <
> vài phen ngấn mực còn cầm <
> tuyết lồng thôn lạnh biết đâu tầm ? <
> chín khúc sầu trường im ỉm . <
> im ỉm sầu trường chín khúc <
> mượn tiêu cầm đỡ lúc tương tư <
> cầm sao thấy điệu ngẩn ngơ <
> tình ai luống để khách thơ thêm càng ... !","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        ai lên tử các thanh vân <
> hỏi thăm ả tố chiều xuân thế nào <
> cầm âm một khúc gởi trao <
> cậy lòng dì gió đưa vào hương cung. <
> oanh én véo von gọi khách <
> cỏ hoa hớn hở mừng ai <
> gió xuân hây hẩy giục đưa người <
> dễ khiến lòng tơ bối rối! <
> thấp thoáng thoi oanh dệt liễu <
> thung thăng phấn bướm dồi mai <
> vũ lăng xa diễn biết bao vời <
> khôn hỏi đào nguyên đâu tá. <
> khôn hỏi đào nguyên đâu tá <
> dòng ngự câu gieo lá tình thi <
> may thay một hội tương kỳ <
> đã bên tình phận lại bề phong lưu <
> câu hảo cừu đợi người thục nữ <
> năm mây phong hai chữ đồng tâm <
> đón xuân nhắn với tri âm <
> tính tình xin tỏ tiếng lòng nầy cho. <
> rắp hẹn hò ngồi hoa đứng tuyết <
> lòng còn e khôn biết nói năng... <
> bây giờ mượn gió cung đằng <
> vì duyên xưa mối xích thằng lại đây. <
> <
> thơ rằng : <
> từ chốn thềm cung trộm dấu hương <
> dễ xui tao khách mối sầu vương <
> gió thông gieo rắc chong đèn oán <
> trăng hạnh chênh vênh rạng bóng dương <
> nếu đã tình duyên run rủi phận <
> thì xin ân ái vẹn vuông đường <
> phong lưu đôi lứa đà ai dễ <
> bụi tục chi cho bợn lóa gương. <
> <
> bợn trần chi để lóa gương <
> tuyết mai là tiết liễu dương ấy tình <
> khổn hoa vừa mãn phong thanh <
> nức gương kinh các nổi danh tao đàn <
> trong tình thú hồng nhan dễ mấy <
> chốn phòng trung trộm thấy phong quang <
> xui lòng du tử thêm càng... <
> biết bao giờ vẹn lửa hương ước nguyền?! <
> tâm sự gởi hoa tiên một bức <
> từ chương không sánh bậc hào hoa <
> những thì ân ái thế mà... <
> tài nương xin hãy xét ta chữ tình. <
> bóng quế mờ mờ trước nóc <
> hơi hương hây hẩy bên thềm <
> ngón cầm dìu dặt nhẫn thâu đêm <
> văng vẳng khêu sầu dường điểm <
> cành tuyết ngoài thềm mới chớm <
> chồi hương bên cửa vừa cầm <
> vườn đào quạnh quẽ mượn ai tầm? <
> mấy bức gấm phong im ỉm. <
> im ỉm gấm phong mấy bức <
> điểm một ngày dằng dặc dường niên <
> để ai đưa đón cung tiên <
> xếp nghề vũ lại gác bên trướng tình <
> mây phủ vóc hình thương cẩu <
> nguyệt mờ ám ngọc vẻ ngọc thiềm <
> bóng đèn xanh thắm lọt năm đêm <
> dò dõi khắc sầu khôn điểm <
> mấy tiếng lầu hoa chợt lắng <
> vài phen ngấn mực còn cầm <
> tuyết lồng thôn lạnh biết đâu tầm? <
> chín khúc sầu trường im ỉm. <
> im ỉm sầu trường chín khúc <
> mượn tiêu cầm đỡ lúc tương tư <
> cầm sao thấy điệu ngẩn ngơ <
> tình ai luống để khách thơ thêm càng...!

        ### Poem Analysis:
         Emotional Tone: Melancholic melancholy with undertones of longing and nostalgia.
         Metaphor: The speaker uses metaphors to describe their emotions, such as comparing themselves to a leaf blown by wind (line 1), a twig broken off from a tree (line 2), and a bird singing in springtime (line 3).
         Setting: The poem takes place in a dreamlike world where time stands still, and the speaker is transported to a realm beyond reality. The setting","
        Cảm xúc: Melancholic melancholy with undertones of longing and nostalgia.
        Ẩn dụ: The speaker uses metaphors to describe their emotions, such as comparing themselves to a leaf blown by wind (line 1), a twig broken off from a tree (line 2), and a bird singing in springtime (line 3).
        Bối cảnh: The poem takes place in a dreamlike world where time stands still, and the speaker is transported to a realm beyond reality. The setting
        Chuyển động: 
        ","Một hình ảnh mơ hồ với lá rơi từ bầu trời, sắc vàng, màu nhạt, nghệ thuật cổ điển.","Một khung cảnh mùa xuân với gió nhẹ, hoa nở, và âm thanh nhạc cầm, phản ánh tâm trạng buồn bã và nỗi nhớ",0.009307235968914158,0.537313432835821,0.12307692307692307,0.3283582089552239
13,"cuồn cuộn xe mây kíp ruổi giong , <
> dễ mà theo hỏi chốn hành tung . <
> khêu sầu chín khúc chùng dây sắt , <
> diễn thảm năm canh quạnh giọt đồng . <
> niêm đảo mơ màng hồi thú cổ , <
> sinh tiêu văng vẳng tiếng thiền chung . <
> huyền thương ví chẳng thù hồng phấn , <
> chi kiếp trần hoàn trả chửa xong !","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        cuồn cuộn xe mây kíp ruổi giong, <
> dễ mà theo hỏi chốn hành tung. <
> khêu sầu chín khúc chùng dây sắt, <
> diễn thảm năm canh quạnh giọt đồng. <
> niêm đảo mơ màng hồi thú cổ, <
> sinh tiêu văng vẳng tiếng thiền chung. <
> huyền thương ví chẳng thù hồng phấn, <
> chi kiếp trần hoàn trả chửa xong!

        ### Poem Analysis:
         - Emotional Tone: Melancholic/Mournful

         - Metaphor:

             *   Cuồn cuộn xe mây kíp ruổi giong : This line uses metaphors to describe the passing of time as an old man riding his horse through the clouds.
             *   Khâu sầu chín khúc chùng dây sắt : This line compares sorrow with a hook that pierces iron wire, symbolizing the sharpness of grief.
             *   Diễn th","
        Cảm xúc: Melancholic/Mournful
        Ẩn dụ: 
        Bối cảnh: 
        Chuyển động: 
        ","Cảnh: Bãi biển hoang tàn, mây đen lóe lên.
Cảm xúc và không khí: Mịt ướt, buồn phiền, cô đơn.
Màu sắc chủ đạo: Xanh láng, màu nâu đất.
Phong cách nghệ thuật: Huyền bí.","Một hành trình tĩnh lặng qua không gian mờ ảo, với âm thanh chuông thiền vang vọng.",0.005311256555131655,0.3373493975903614,0.07407407407407408,0.21686746987951808
14,"từ chốn thiềm cung trộm dấu hương <
> dễ xui tao khách mối sầu vương <
> gió thông réo rắt rong đàn oán <
> trăng hạnh chênh vênh rạng bóng dương <
> nếu phải tình duyên may chút phận <
> thì xin ân ái vẹn hai đường <
> phong lưu đôi lứa ai đà dễ <
> bụi tục chi cho bợn lóa gương","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        từ chốn thiềm cung trộm dấu hương <
> dễ xui tao khách mối sầu vương <
> gió thông réo rắt rong đàn oán <
> trăng hạnh chênh vênh rạng bóng dương <
> nếu phải tình duyên may chút phận <
> thì xin ân ái vẹn hai đường <
> phong lưu đôi lứa ai đà dễ <
> bụi tục chi cho bợn lóa gương

        ### Poem Analysis:
         - Emotional Tone: Melancholic with hints of longing.
         - Metaphor: None explicitly stated but implied through imagery and symbolism (e.g., ""thịều thiềm cung"" = palace of dreams).
         - Setting: A dreamlike or fantastical realm where time stands still (""trăng hạnh chênh vênh"").
         - Motion: Static or stagnant; characters seem frozen in place despite their emotions (""dễ xui tao khách mối sầu vương","
        Cảm xúc: Melancholic with hints of longing.
        Ẩn dụ: None explicitly stated but implied through imagery and symbolism (e.g., ""thịều thiềm cung"" = palace of dreams).
        Bối cảnh: A dreamlike or fantastical realm where time stands still (""trăng hạnh chênh vênh"").
        Chuyển động: Static or stagnant; characters seem frozen in place despite their emotions (""dễ xui tao khách mối sầu vương
        ","Thịều thiềm cung trong đêm trăng hạnh chênh vằng, người standing yên trong sầu buồn."" 
""Melancholic với hơi nhạt về mong muốn.""
""Màu trắng, đen, và màu pastel nhẹ.""
""Huyền bí, lãng mạn.","Một khung cảnh thần tiên với trăng sáng, gió nhẹ và những tâm tư buồn bã.",0.007434360163166208,0.5063291139240507,0.12987012987012989,0.32911392405063294
15,"sinh có nhân thân , <
> ấy là họa cả ; <
> ai hay cốc được , <
> mới ốc là đã . <
> tuần này mà ngẫm , <
> ta lại xá ta ; <
> đắc ý cong lòng , <
> cười riêng ha hả . <
> công danh chẳng trọng , <
> phú quý chẳng màng ; <
> tần hán xưa kia , <
> xem đà nhèn hạ . <
> yên bề phận khó , <
> kiếm chốn dưỡng thân ; <
> khuất tịch non cao , <
> náu mình sơn dã . <
> vượn mừng hủ hỷ , <
> làm bạn cùng ta ; <
> vắng vẻ ngàn kia , <
> thân lòng hỷ xả . <
> thanh nhàn vô sự , <
> quét tước đài hoa ; <
> thờ phụng bụt trời , <
> đêm ngày hương hỏa . <
> tụng kinh niệm bụt , <
> chúc thánh khẩn cầu ; <
> tam hữu tứ ân , <
> ta nguyền được bả . <
> niệm lòng vặc vặc , <
> giác tính quang quang ; <
> chẳng còn bỉ thử . <
> tranh nhân chấp ngã . <
> trần duyên rũ hết , <
> thị phi chẳng hề . <
> rèn một tấm lòng , <
> đêm ngày đon đả . <
> ngồi cong trần thế , <
> chẳng quản sự thay . <
> văng vẳng ngàn kia , <
> dầu lòng dong thả . <
> học đòi chư phật , <
> cho được viên thành ; <
> xướng khúc vô sinh . <
> an thiền tiêu sá . <
> ai ai xá cốc , <
> bằng huyễn chiêm bao ; <
> xẩy tỉnh giấc hòe , <
> châu rơi lã chã . <
> cốc hay thân huyễn , <
> chẳng khác phù vân ; <
> vạn sự giai không , <
> tựa dường bọt bể . <
> đem mình náu tới , <
> cảnh vắng ngàn kia ; <
> dốc chí tu hành , <
> giấy sồi bô bả . <
> lành người chẳng chớ . <
> dữ người chẳng hay ; <
> ngậm miệng đắp tai , <
> hề chi họa cả . <
> an thân lập mệnh . <
> thời tiết nhân duyên ; <
> cắt thịt phân cho , <
> dầu là chim cá . <
> thân này chẳng quản . <
> bữa đói bữa no ; <
> địa thủy hỏa phong , <
> dầu là biến hóa . <
> pháp thân thường trụ , <
> phổ mãn thái hư , <
> hiển hách mục tiền , <
> viên dung lõa lõa . <
> thiền tông chỉ thị , <
> mục kích đạo tồn ; <
> không cốc truyền thanh , <
> âm hưởng ứng dã . <
> phô người học đạo , <
> vô số nhiều thay ; <
> trúc hóa nên rồng , <
> một hai là họa . <
> bởi lòng vờ vịt , <
> trỏ bắc làm nam ; <
> nhất chỉ đầu thiền , <
> sát na hết cả . <
> <
> kệ rằng : <
> cảnh tịch an cư tự tại tâm , <
> lương phong xuy đệ nhập tùng âm . <
> thiền sàng thọ hạ nhất kinh quyển , <
> lưỡng tự thanh nhàn thắng vạn câm .","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        sinh có nhân thân, <
> ấy là họa cả ; <
> ai hay cốc được, <
> mới ốc là đã. <
> tuần này mà ngẫm, <
> ta lại xá ta ; <
> đắc ý cong lòng, <
> cười riêng ha hả. <
> công danh chẳng trọng, <
> phú quý chẳng màng ; <
> tần hán xưa kia, <
> xem đà nhèn hạ. <
> yên bề phận khó, <
> kiếm chốn dưỡng thân ; <
> khuất tịch non cao, <
> náu mình sơn dã. <
> vượn mừng hủ hỷ, <
> làm bạn cùng ta ; <
> vắng vẻ ngàn kia, <
> thân lòng hỷ xả. <
> thanh nhàn vô sự, <
> quét tước đài hoa ; <
> thờ phụng bụt trời, <
> đêm ngày hương hỏa. <
> tụng kinh niệm bụt, <
> chúc thánh khẩn cầu ; <
> tam hữu tứ ân, <
> ta nguyền được bả. <
> niệm lòng vặc vặc, <
> giác tính quang quang ; <
> chẳng còn bỉ thử. <
> tranh nhân chấp ngã. <
> trần duyên rũ hết, <
> thị phi chẳng hề. <
> rèn một tấm lòng, <
> đêm ngày đon đả. <
> ngồi cong trần thế, <
> chẳng quản sự thay. <
> văng vẳng ngàn kia, <
> dầu lòng dong thả. <
> học đòi chư phật, <
> cho được viên thành ; <
> xướng khúc vô sinh. <
> an thiền tiêu sá. <
> ai ai xá cốc, <
> bằng huyễn chiêm bao ; <
> xẩy tỉnh giấc hòe, <
> châu rơi lã chã. <
> cốc hay thân huyễn, <
> chẳng khác phù vân ; <
> vạn sự giai không, <
> tựa dường bọt bể. <
> đem mình náu tới, <
> cảnh vắng ngàn kia ; <
> dốc chí tu hành, <
> giấy sồi bô bả. <
> lành người chẳng chớ. <
> dữ người chẳng hay ; <
> ngậm miệng đắp tai, <
> hề chi họa cả. <
> an thân lập mệnh. <
> thời tiết nhân duyên ; <
> cắt thịt phân cho, <
> dầu là chim cá. <
> thân này chẳng quản. <
> bữa đói bữa no ; <
> địa thủy hỏa phong, <
> dầu là biến hóa. <
> pháp thân thường trụ, <
> phổ mãn thái hư, <
> hiển hách mục tiền, <
> viên dung lõa lõa. <
> thiền tông chỉ thị, <
> mục kích đạo tồn ; <
> không cốc truyền thanh, <
> âm hưởng ứng dã. <
> phô người học đạo, <
> vô số nhiều thay ; <
> trúc hóa nên rồng, <
> một hai là họa. <
> bởi lòng vờ vịt, <
> trỏ bắc làm nam ; <
> nhất chỉ đầu thiền, <
> sát na hết cả. <
> <
> kệ rằng : <
> cảnh tịch an cư tự tại tâm, <
> lương phong xuy đệ nhập tùng âm. <
> thiền sàng thọ hạ nhất kinh quyển, <
> lưỡng tự thanh nhàn thắng vạn câm.

        ### Poem Analysis:
         Emotional Tone: The overall emotional tone of this poem is serene, calm, and peaceful. It conveys a sense of detachment from worldly concerns and desires.
          Metaphor: One notable metaphor in the poem is ""cốc"" (cup) which represents spiritual enlightenment or awakening. This cup is filled with various elements such as ""phú quý"", ""cong danh"", etc., but ultimately leads to emptiness and realization that true fulfillment comes from within.
           Setting: The setting of the","
        Cảm xúc: The overall emotional tone of this poem is serene, calm, and peaceful. It conveys a sense of detachment from worldly concerns and desires.
        Ẩn dụ: One notable metaphor in the poem is ""cốc"" (cup) which represents spiritual enlightenment or awakening. This cup is filled with various elements such as ""phú quý"", ""cong danh"", etc., but ultimately leads to emptiness and realization that true fulfillment comes from within.
        Bối cảnh: The setting of the
        Chuyển động: 
        ","Cốc trống dưới cây sen, ánh nắng lấp lánh nhẹ nhàng. Thư thái bình yên, sự im ắng. Màu trắng, xanh lá cây, màu sắc tự nhiên. Phong cách cổ điển.","Hình ảnh một người thiền định giữa thiên nhiên tĩnh lặng, ánh sáng dịu dàng chiếu xuống.",0.006032401726201458,0.5432098765432098,0.07594936708860761,0.2962962962962963
16,"năm ba thằng ngọng đứng xem chuông , <
> nó bảo nhau rằng ấy ái uông .","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        năm ba thằng ngọng đứng xem chuông, <
> nó bảo nhau rằng ấy ái uông.

        ### Poem Analysis:
         - Emotional Tone: The emotional tone of this poem is melancholic and nostalgic.
         - Metaphor: There are no metaphors in this poem. However, there's an implicit comparison between the bell tower and something else that could be interpreted as a metaphorical representation of love or longing.
         - Setting: The setting appears to take place at night, possibly during a stormy weather condition due to the mention of ""chuông"" (bell) which implies darkness and gloominess.
        ","
        Cảm xúc: The emotional tone of this poem is melancholic and nostalgic.
        Ẩn dụ: There are no metaphors in this poem. However, there's an implicit comparison between the bell tower and something else that could be interpreted as a metaphorical representation of love or longing.
        Bối cảnh: The setting appears to take place at night, possibly during a stormy weather condition due to the mention of ""chuông"" (bell) which implies darkness and gloominess.
        Chuyển động: 
        ","Towered bell stands under dark sky
Mạnh mẽ trầm cảm, hụt hẫng
Đen xám, nâu sẫm","Một nhóm bạn trẻ đứng xem chuông, trò chuyện vui vẻ.",0.0,0.35000000000000003,0.052631578947368425,0.3
17,"mười bảy hay là mười tám đây , <
> cho ta yêu dấu chẳng dời tay . <
> mỏng dày chừng ấy chành ba góc , <
> rộng hẹp ngần nao cắm một cay . <
> càng nực bao nhiêu thời càng mát , <
> yêu đêm chẳng chán lại yêu ngày . <
> hồng hồng má phấn duyên vì cậy , <
> chúa dấu vua yêu một cái này .","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        mười bảy hay là mười tám đây, <
> cho ta yêu dấu chẳng dời tay. <
> mỏng dày chừng ấy chành ba góc, <
> rộng hẹp ngần nao cắm một cay. <
> càng nực bao nhiêu thời càng mát, <
> yêu đêm chẳng chán lại yêu ngày. <
> hồng hồng má phấn duyên vì cậy, <
> chúa dấu vua yêu một cái này.

        ### Poem Analysis:
         - Emotional Tone: The overall emotion of this poem is one of joyfulness and happiness. It expresses love for life and nature.
         - Metaphor: There are several metaphors in this poem such as comparing the speaker's heart to an open book (một cuốn sách mở), comparing their soul to a flower blooming in spring (hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa","
        Cảm xúc: The overall emotion of this poem is one of joyfulness and happiness. It expresses love for life and nature.
        Ẩn dụ: There are several metaphors in this poem such as comparing the speaker's heart to an open book (một cuốn sách mở), comparing their soul to a flower blooming in spring (hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa hoa
        Bối cảnh: 
        Chuyển động: 
        ","Hoa nở trong vườn hoa, ánh nắng vàng. Âm thanh vui tươi, hạnh phúc không giới hạn. Màu sắc chủ đạo: Vàng, xanh lá cây, hồng. Phong cách nghệ thuật: Hài hoại.","Một cảnh tượng lãng mạn giữa hai người yêu nhau, tay nắm chặt.",0.0,0.4657534246575342,0.05633802816901408,0.273972602739726
18,"chiếc bách buồn về phận nổi nênh , <
> giữa dòng ngao ngán nỗi lênh đênh . <
> lưng khoang tình nghĩa mong đầy đặn , <
> nửa mạn phong ba luống bập bềnh . <
> chèo lái mặc ai lăm đỗ bến , <
> buồm lèo thây kẻ rắp xuôi ghềnh . <
> ấy ai thăm ván cam lòng vậy , <
> ngán nỗi ôm đàn những tấp tênh .","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        chiếc bách buồn về phận nổi nênh, <
> giữa dòng ngao ngán nỗi lênh đênh. <
> lưng khoang tình nghĩa mong đầy đặn, <
> nửa mạn phong ba luống bập bềnh. <
> chèo lái mặc ai lăm đỗ bến, <
> buồm lèo thây kẻ rắp xuôi ghềnh. <
> ấy ai thăm ván cam lòng vậy, <
> ngán nỗi ôm đàn những tấp tênh.

        ### Poem Analysis:
         - Emotional Tone: Melancholic melancholy with undertones of resignation.
         - Metaphor: The boat represents life's journey, while the sea represents fate or destiny. The wind represents change or fortune.
         - Setting: A serene and peaceful environment, possibly near a river or lake.
         - Motion: Gentle rocking motions, suggesting a sense of calmness and tranquility.
         - Prompt Generation:

Prompt generation is not provided in this response as it requires human evaluation and analysis skills to","
        Cảm xúc: Melancholic melancholy with undertones of resignation.
        Ẩn dụ: The boat represents life's journey, while the sea represents fate or destiny. The wind represents change or fortune.
        Bối cảnh: A serene and peaceful environment, possibly near a river or lake.
        Chuyển động: Gentle rocking motions, suggesting a sense of calmness and tranquility.
        ","Boat nhẹ lướt trên sông yên tĩnh, gió nhẹ làm sóng bay. Màu sắc ngả sang xanh nhạt, trời tĩnh lặng, nghệ thuật watercolor.","Một chiếc bách trôi nổi giữa dòng nước đầy sóng gió, biểu hiện nỗi buồn và sự lạc lõng.",0.007913247271422612,0.4722222222222222,0.08571428571428572,0.33333333333333337
19,"trải mấy thu nay vẫn hãy còn , <
> cớ sao khi khuyết lại khi tròn ? <
> hỏi con bạch thố đà bao tuổi ? <
> hỏi chị hằng nga đã mấy con ? <
> đêm tối cớ sao soi gác tía ? <
> ngày xanh còn thẹn mấy vầng tròn . <
> năm canh lơ lửng chờ ai đó ? <
> hay có tình riêng mấy nước non ?","
        ### Instruction:
        Analyze the given poem and extract its emotional tone, metaphor, setting, motion, and generate a prompt based on the poem.

        ### Input Poem:
        trải mấy thu nay vẫn hãy còn, <
> cớ sao khi khuyết lại khi tròn? <
> hỏi con bạch thố đà bao tuổi? <
> hỏi chị hằng nga đã mấy con? <
> đêm tối cớ sao soi gác tía? <
> ngày xanh còn thẹn mấy vầng tròn. <
> năm canh lơ lửng chờ ai đó? <
> hay có tình riêng mấy nước non?

        ### Poem Analysis:
         - Emotional Tone: The overall emotion of this poem is melancholic with hints of nostalgia.
         - Metaphor: There are metaphors used in the poem such as ""trải mấy thu nay vẫn hãy còn"" which means experiencing several autumns still remaining. This metaphor suggests that time keeps passing but memories remain.
         - Setting: Although not explicitly stated, it can be inferred that the setting might be Vietnam or Southeast Asia due to phrases like ""nước não"".
         - Motion:","
        Cảm xúc: The overall emotion of this poem is melancholic with hints of nostalgia.
        Ẩn dụ: There are metaphors used in the poem such as ""trải mấy thu nay vẫn hãy còn"" which means experiencing several autumns still remaining. This metaphor suggests that time keeps passing but memories remain.
        Bối cảnh: Although not explicitly stated, it can be inferred that the setting might be Vietnam or Southeast Asia due to phrases like ""nước não"".
        Chuyển động: 
        ","Trải mấy thu nay vẫn hãy còn, dưới cỏ xanh ngả màu lá vàng, nước não trơ. Không khí mờ nhạt, buồn bã. Màu sắc chủ đạo: vàng, xanh. Phong cách nghệ thuật: Realist.","Hình ảnh bạch thố và ánh trăng trong đêm tối, thể hiện sự buồn bã và chờ đợi.",0.005474870710453651,0.4473684210526316,0.05405405405405406,0.2894736842105263
